round_epochs,val_loss,val_mean_absolut_error,loss,mean_absolut_error,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,leaky_alpha,lr,optimizer,samples
1,5107.490234375,51.85866928100586,5965.284905273437,52.945435,leakyrelu,32,0.25,1,1024,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5533.2392578125,51.50255584716797,7550.871942382812,58.46101,leakyrelu,32,0.25,1,1024,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4551.6953125,44.1348762512207,6316.580711425781,54.332478,leakyrelu,32,0.25,1,2048,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4959.03857421875,47.34663772583008,7344.121848144531,58.161915,leakyrelu,32,0.25,1,2048,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5029.4375,47.727806091308594,6283.9961752929685,54.678875,leakyrelu,32,0.5,1,1024,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5025.5224609375,47.22456359863281,7059.957686035156,57.28664,leakyrelu,32,0.5,1,1024,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4447.95166015625,44.23582458496094,5920.551207519531,52.696514,leakyrelu,32,0.5,1,2048,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5649.0791015625,52.0034065246582,6957.387458496094,57.328888,leakyrelu,32,0.5,1,2048,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4985.0849609375,51.32971954345703,6773.97519140625,55.597057,leakyrelu,64,0.25,1,1024,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5480.517578125,53.82518005371094,9261.039375,62.04638,leakyrelu,64,0.25,1,1024,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5141.9462890625,50.68193817138672,6431.161837890625,54.913097,leakyrelu,64,0.25,1,2048,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6414.4208984375,51.762367248535156,9942.280404296875,61.18611,leakyrelu,64,0.25,1,2048,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5625.49267578125,55.074283599853516,6673.170041015625,55.43737,leakyrelu,64,0.5,1,1024,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5775.46875,53.640567779541016,8990.583328125,60.83275,leakyrelu,64,0.5,1,1024,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5460.21484375,49.75966262817383,6629.218352539063,55.164585,leakyrelu,64,0.5,1,2048,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5948.60693359375,52.835296630859375,8905.022399414063,62.20393,leakyrelu,64,0.5,1,2048,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4863.21435546875,48.98469543457031,6304.36658984375,56.2036,relu,32,0.25,1,1024,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5731.8818359375,62.60416030883789,7678.937297851562,68.70599,relu,32,0.25,1,1024,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5223.173828125,49.47605514526367,6183.959585449219,57.576126,relu,32,0.25,1,2048,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5400.2587890625,49.69389343261719,6733.479912109375,55.105457,relu,32,0.25,1,2048,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5035.939453125,50.06217956542969,6055.740810546875,53.466934,relu,32,0.5,1,1024,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4807.5048828125,42.97343444824219,6722.161217773438,54.7682,relu,32,0.5,1,1024,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,7316.1279296875,64.37984466552734,6955.152142089843,66.97216,relu,32,0.5,1,2048,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4212.94921875,47.109493255615234,6891.179974609375,56.00609,relu,32,0.5,1,2048,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4685.3037109375,49.64097595214844,6169.315856445312,53.49214,relu,64,0.25,1,1024,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5255.4892578125,50.2147331237793,9179.675676757812,57.47854,relu,64,0.25,1,1024,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5323.96484375,55.36899185180664,6225.199423828125,54.106724,relu,64,0.25,1,2048,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5125.166015625,50.93040466308594,8924.746643554687,56.659992,relu,64,0.25,1,2048,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
