round_epochs,loss,custom_mae,val_loss,val_custom_mae,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,label_type,loss_function,lr,monitor_value,optimizer,reduction_metric,samples
1,3799.5094443359376,39.04887,2938.1040791015625,31.90724,leakyrelu,32,0.25,1,1024,0,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3710.6816479492186,38.389137,3033.902876953125,32.249405,leakyrelu,32,0.25,1,1024,0,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3809.639139892578,38.67612,2971.0648720703125,31.585161,leakyrelu,32,0.25,1,1024,0,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3967.657041015625,40.778908,2989.412,32.38471,leakyrelu,32,0.25,1,1024,1,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3924.475641113281,40.545353,2620.7674384765623,29.609598,leakyrelu,32,0.25,1,1024,1,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4635.303453857422,43.218494,3196.0326494140627,35.278194,leakyrelu,32,0.25,1,1024,1,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4158.319021606445,42.68154,2758.1005869140627,31.106253,leakyrelu,32,0.25,1,1024,2,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4067.798031982422,42.014046,2721.6548466796876,31.562916,leakyrelu,32,0.25,1,1024,2,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4578.378611572266,45.12633,4287.935451171875,43.69213,leakyrelu,32,0.25,1,1024,2,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4485.549666992188,45.39121,2726.1558916015624,31.50134,leakyrelu,32,0.25,1,1024,3,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4634.495314208984,46.68138,2813.0244248046874,33.47933,leakyrelu,32,0.25,1,1024,3,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,5302.618828613281,50.9484,3440.384599609375,40.763035,leakyrelu,32,0.25,1,1024,3,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4947.185879150391,49.187893,2961.1646708984376,34.446384,leakyrelu,32,0.25,1,1024,4,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4994.186141845703,49.475117,2864.00951953125,33.66891,leakyrelu,32,0.25,1,1024,4,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,6568.826054199219,57.215343,6019.068345703125,57.110527,leakyrelu,32,0.25,1,1024,4,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3713.6038447265623,38.054047,3089.228001953125,32.619465,leakyrelu,32,0.25,1,2048,0,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3722.506351074219,38.09067,2977.3983310546873,31.602264,leakyrelu,32,0.25,1,2048,0,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4001.9669963378906,39.21233,2567.7426943359374,28.672417,leakyrelu,32,0.25,1,2048,0,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3871.796709716797,39.797153,2617.5951362304686,29.322355,leakyrelu,32,0.25,1,2048,1,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3924.505734375,40.60299,2581.9980615234376,29.337841,leakyrelu,32,0.25,1,2048,1,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,8470.071699951171,49.19755,2859.7438720703126,32.13346,leakyrelu,32,0.25,1,2048,1,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4008.473650878906,41.554737,2596.4360517578125,30.692924,leakyrelu,32,0.25,1,2048,2,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4409.802407470703,43.950573,2686.0787646484373,30.72697,leakyrelu,32,0.25,1,2048,2,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,12022.820470458984,52.046497,2908.70433984375,33.223812,leakyrelu,32,0.25,1,2048,2,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4304.128384277344,43.794655,2461.1379091796875,29.32268,leakyrelu,32,0.25,1,2048,3,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4744.460651367188,45.55227,2603.751802734375,31.525923,leakyrelu,32,0.25,1,2048,3,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,6539.698518554687,51.638866,7416.40197265625,59.37664,leakyrelu,32,0.25,1,2048,3,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4779.506922363281,47.394035,2759.88672265625,33.866734,leakyrelu,32,0.25,1,2048,4,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,5392.895370361328,50.344856,2756.743111328125,32.774178,leakyrelu,32,0.25,1,2048,4,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,6836.175226074219,58.644753,5098.770748046875,54.204937,leakyrelu,32,0.25,1,2048,4,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3695.5101181640625,38.23875,2847.65734375,30.955305,leakyrelu,32,0.25,1,4096,0,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3730.5042600097654,37.859547,2686.485302734375,30.408092,leakyrelu,32,0.25,1,4096,0,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4383.826420654297,40.74121,2547.475080078125,28.446987,leakyrelu,32,0.25,1,4096,0,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3844.7821826171876,39.62282,2625.0686435546877,29.95247,leakyrelu,32,0.25,1,4096,1,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4957.4077170410155,43.96992,2646.5367021484376,29.975128,leakyrelu,32,0.25,1,4096,1,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,35054.385075927734,65.937,2992.356220703125,35.284832,leakyrelu,32,0.25,1,4096,1,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4115.395585449219,41.639866,2575.603892578125,29.298382,leakyrelu,32,0.25,1,4096,2,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,5342.2558645019535,44.598434,2508.385513671875,29.009455,leakyrelu,32,0.25,1,4096,2,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,574031.695383789,112.79047,4139.880728515625,44.225163,leakyrelu,32,0.25,1,4096,2,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4496.938314697266,44.548557,2681.4957841796877,32.890484,leakyrelu,32,0.25,1,4096,3,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,5253.021515625,46.067852,2660.2866513671875,32.624413,leakyrelu,32,0.25,1,4096,3,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,477499.1141601562,170.95203,5808.524876953125,56.802624,leakyrelu,32,0.25,1,4096,3,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4632.460555175781,46.441578,2770.279541015625,33.97754,leakyrelu,32,0.25,1,4096,4,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,6171.603602783203,51.23316,3107.8318466796877,35.178024,leakyrelu,32,0.25,1,4096,4,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,130790.61472998047,92.40186,5360.747025390625,54.438923,leakyrelu,32,0.25,1,4096,4,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4068.0601254882813,41.393234,3111.8571650390627,33.384083,leakyrelu,32,0.5,1,1024,0,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4002.6019016113282,40.80353,3129.7664833984377,33.534397,leakyrelu,32,0.5,1,1024,0,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4214.764825683594,42.139763,3302.8787568359376,35.256557,leakyrelu,32,0.5,1,1024,0,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4456.43497265625,44.757214,3071.829255859375,34.222515,leakyrelu,32,0.5,1,1024,1,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4510.415678222656,44.911304,3141.6470517578123,35.54845,leakyrelu,32,0.5,1,1024,1,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,5024.4708642578125,46.53903,3338.9410302734377,36.068996,leakyrelu,32,0.5,1,1024,1,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,5011.800978027344,49.305363,3297.58903125,36.673054,leakyrelu,32,0.5,1,1024,2,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,5105.831640625,49.667618,3236.1355771484373,36.136017,leakyrelu,32,0.5,1,1024,2,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,5606.318569824219,52.69356,3584.9120546875,40.21513,leakyrelu,32,0.5,1,1024,2,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
