round_epochs,loss,custom_mae,val_loss,val_custom_mae,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,label_type,loss_function,lr,monitor_value,optimizer,reduction_metric,samples
1,3799.5094479980467,39.04887,2938.1040302734373,31.90724,leakyrelu,32,0.25,1,1024,0,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3710.9920034179686,38.433426,3080.801419921875,32.61966,leakyrelu,32,0.25,1,1024,0,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3807.3086424560547,38.668716,2886.1211962890625,30.901876,leakyrelu,32,0.25,1,1024,0,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3969.891518310547,40.783623,3019.6102998046877,32.53157,leakyrelu,32,0.25,1,1024,1,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3924.4756408691405,40.54535,2620.7673125,29.609596,leakyrelu,32,0.25,1,1024,1,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4635.30340234375,43.218494,3196.0330869140626,35.27819,leakyrelu,32,0.25,1,1024,1,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4157.989950683594,42.6894,2782.3764951171875,31.237959,leakyrelu,32,0.25,1,1024,2,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4068.6357680664064,42.029858,2654.1115380859374,30.800417,leakyrelu,32,0.25,1,1024,2,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4578.378525146484,45.12633,4287.929474609375,43.69211,leakyrelu,32,0.25,1,1024,2,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4485.549691162109,45.39121,2726.156005859375,31.501347,leakyrelu,32,0.25,1,1024,3,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4625.757715332032,46.540115,2865.300484375,33.787655,leakyrelu,32,0.25,1,1024,3,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,5301.893705078125,50.852673,3018.9130771484374,34.627552,leakyrelu,32,0.25,1,1024,3,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4938.494502441406,49.15404,2875.429275390625,33.388466,leakyrelu,32,0.25,1,1024,4,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4979.003721435547,49.2279,2870.7833115234375,33.963783,leakyrelu,32,0.25,1,1024,4,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
