round_epochs,val_loss,val_mean_absolut_error,loss,mean_absolut_error,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,leaky_alpha,lr,optimizer,samples
1,4827.9052734375,46.064918518066406,5971.132661132812,52.862755,leakyrelu,32,0.25,1,1024,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5048.81396484375,52.463932037353516,7728.456209472656,58.506363,leakyrelu,32,0.25,1,1024,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5887.55908203125,56.29811477661133,18406.42953222656,75.50468,leakyrelu,32,0.25,1,1024,0,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4820.947265625,46.63965606689453,6297.770854980468,54.8831,leakyrelu,32,0.25,1,1024,1,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5744.14697265625,52.723243713378906,7409.793855957031,58.707848,leakyrelu,32,0.25,1,1024,1,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5982.7255859375,52.70380783081055,18251.730012695312,74.20624,leakyrelu,32,0.25,1,1024,1,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6269.6591796875,50.578678131103516,6117.595464355469,53.731575,leakyrelu,32,0.25,1,1024,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4992.419921875,52.3321533203125,7106.706468261718,57.797005,leakyrelu,32,0.25,1,1024,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5603.02099609375,52.1240119934082,19589.534142578126,74.95525,leakyrelu,32,0.25,1,1024,2,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5205.69873046875,49.6201057434082,5942.406541015625,52.50981,leakyrelu,32,0.25,1,1024,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4407.34716796875,50.05436325073242,7271.486538085937,58.279385,leakyrelu,32,0.25,1,1024,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5055.962890625,51.910369873046875,18753.084705566405,76.58275,leakyrelu,32,0.25,1,1024,3,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5528.212890625,49.49569320678711,6193.423764648437,53.74697,leakyrelu,32,0.25,1,2048,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5110.287109375,56.00296401977539,7361.018023925782,58.530872,leakyrelu,32,0.25,1,2048,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5952.00048828125,52.603153228759766,18895.3291953125,74.56418,leakyrelu,32,0.25,1,2048,0,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5638.57421875,47.765872955322266,6358.094474609375,54.684383,leakyrelu,32,0.25,1,2048,1,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6044.3056640625,52.189971923828125,7179.015948730469,57.609966,leakyrelu,32,0.25,1,2048,1,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5337.74951171875,52.33308410644531,19065.798041992188,76.878174,leakyrelu,32,0.25,1,2048,1,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6361.86767578125,49.28994369506836,6378.363295410156,55.40452,leakyrelu,32,0.25,1,2048,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5545.82080078125,47.298152923583984,7305.847234375,58.400837,leakyrelu,32,0.25,1,2048,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5057.5849609375,51.2667121887207,21136.838541015626,80.33178,leakyrelu,32,0.25,1,2048,2,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4748.56201171875,45.84357833862305,5916.691824707032,52.794178,leakyrelu,32,0.25,1,2048,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6190.30126953125,54.310359954833984,7309.950047851563,57.986618,leakyrelu,32,0.25,1,2048,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5814.7119140625,51.592838287353516,21374.07144189453,77.14814,leakyrelu,32,0.25,1,2048,3,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5005.6728515625,50.34563446044922,6244.049197753906,54.605476,leakyrelu,32,0.25,1,4096,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5543.7119140625,53.148677825927734,7616.5438828125,58.371117,leakyrelu,32,0.25,1,4096,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5508.427734375,54.74386215209961,19855.325154296876,73.582565,leakyrelu,32,0.25,1,4096,0,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6428.603515625,55.4504280090332,6268.770434570312,55.096313,leakyrelu,32,0.25,1,4096,1,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5703.0576171875,53.34165954589844,7527.468643066406,58.255398,leakyrelu,32,0.25,1,4096,1,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6401.5341796875,54.33781814575195,21194.702560058595,77.58153,leakyrelu,32,0.25,1,4096,1,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5774.185546875,51.396663665771484,6251.48238671875,54.38883,leakyrelu,32,0.25,1,4096,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5086.01220703125,49.907073974609375,7245.820583984375,58.267864,leakyrelu,32,0.25,1,4096,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5585.978515625,51.78348922729492,26235.173296386718,85.83322,leakyrelu,32,0.25,1,4096,2,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,3910.74365234375,47.01322555541992,6225.973539550781,53.847416,leakyrelu,32,0.25,1,4096,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5584.9931640625,52.406429290771484,7652.732141601563,59.103477,leakyrelu,32,0.25,1,4096,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
