round_epochs,val_loss,val_mean_absolut_error,loss,mean_absolut_error,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,leaky_alpha,lr,optimizer,samples
1,4638.24609375,47.247230529785156,6221.186904296875,54.8064,leakyrelu,32,0.25,1,1024,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5219.3056640625,51.04456329345703,7319.4487817382815,57.84619,leakyrelu,32,0.25,1,1024,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,8264.4267578125,61.40449142456055,19668.692658203126,77.69682,leakyrelu,32,0.25,1,1024,0,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4465.77734375,43.94778060913086,5994.927649902344,53.22585,leakyrelu,32,0.25,1,1024,1,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4908.98828125,50.456520080566406,7404.662227539063,58.69255,leakyrelu,32,0.25,1,1024,1,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5638.70654296875,54.25883483886719,19792.668993652343,74.16962,leakyrelu,32,0.25,1,1024,1,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5441.8154296875,50.757415771484375,6175.091409667969,54.584118,leakyrelu,32,0.25,1,1024,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5067.8828125,46.80827713012695,7732.840187011719,58.38013,leakyrelu,32,0.25,1,1024,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,9108.5146484375,63.97123336791992,16262.89497216797,70.75356,leakyrelu,32,0.25,1,1024,2,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6854.1630859375,51.16375732421875,6287.769470703125,54.751884,leakyrelu,32,0.25,1,1024,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5438.4287109375,49.34096908569336,7298.861481445312,58.037567,leakyrelu,32,0.25,1,1024,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5543.697265625,51.21645736694336,18026.84174267578,75.13021,leakyrelu,32,0.25,1,1024,3,0.1,4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5198.3798828125,48.30035400390625,6291.411315917969,54.86152,leakyrelu,32,0.25,1,1024,4,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
