round_epochs,val_loss,val_mean_absolut_error,loss,mean_absolut_error,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,leaky_alpha,lr,optimizer,samples
1,5613.03125,55.22995376586914,6298.348987304687,54.81719,leakyrelu,32,0.25,1,4096,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5304.58984375,50.43785858154297,7442.740813964844,58.539238,leakyrelu,32,0.25,1,4096,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5769.14990234375,46.1693000793457,6122.209863769532,54.16925,leakyrelu,32,0.5,1,4096,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5100.21337890625,49.55586624145508,6921.057544921875,57.24252,leakyrelu,32,0.5,1,4096,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5259.49267578125,52.16988754272461,6562.175823242187,56.40986,leakyrelu,64,0.25,1,4096,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5365.2939453125,52.01308822631836,8580.511955078126,60.874565,leakyrelu,64,0.25,1,4096,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4450.4619140625,45.834529876708984,6159.072619140625,53.56561,leakyrelu,64,0.5,1,4096,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5871.27685546875,53.20585632324219,9116.78904296875,60.808372,leakyrelu,64,0.5,1,4096,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6106.54345703125,64.23236083984375,7013.582318359375,67.60402,relu,32,0.25,1,4096,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4806.0791015625,48.62167739868164,6584.40613671875,54.281258,relu,32,0.25,1,4096,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4108.87939453125,41.778568267822266,6010.239788574218,53.150177,relu,32,0.5,1,4096,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4097.81005859375,48.4670524597168,7027.262720703125,54.318745,relu,32,0.5,1,4096,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5437.6669921875,52.45321273803711,6224.696314453125,55.493042,relu,64,0.25,1,4096,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4642.1875,49.9979133605957,9260.20740234375,56.699997,relu,64,0.25,1,4096,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4368.7841796875,46.425270080566406,5912.659825195313,52.279858,relu,64,0.5,1,4096,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6261.6708984375,52.94217300415039,8567.657856445312,55.86273,relu,64,0.5,1,4096,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
