round_epochs,val_loss,val_mean_absolut_error,loss,mean_absolut_error,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,leaky_alpha,lr,optimizer,samples
1,3927.44140625,46.636844635009766,5944.537086425781,52.824116,leakyrelu,32,0.25,1,4096,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5387.71484375,48.71234130859375,7605.751065917969,58.602337,leakyrelu,32,0.25,1,4096,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5233.6279296875,45.51272201538086,6016.750846191406,52.590275,leakyrelu,32,0.5,1,4096,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5233.095703125,48.72215270996094,7160.453671386719,57.974693,leakyrelu,32,0.5,1,4096,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5521.978515625,51.36013412475586,6499.59383984375,55.065945,leakyrelu,64,0.25,1,4096,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5877.6201171875,51.38230895996094,8503.471955078125,60.57378,leakyrelu,64,0.25,1,4096,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6042.7314453125,48.28203582763672,6540.30788671875,53.97008,leakyrelu,64,0.5,1,4096,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5023.890625,51.78404998779297,9978.195458984375,63.23181,leakyrelu,64,0.5,1,4096,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5771.1083984375,48.40302276611328,5933.489536132813,54.052643,relu,32,0.25,1,4096,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,8094.4912109375,61.54719161987305,7410.904846679688,55.26837,relu,32,0.25,1,4096,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5840.7763671875,54.430076599121094,6150.004633789063,54.30299,relu,32,0.5,1,4096,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,7538.119140625,67.9903793334961,7817.8061342773435,70.23097,relu,32,0.5,1,4096,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6433.970703125,53.94023513793945,5980.77279296875,53.023975,relu,64,0.25,1,4096,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6300.71923828125,51.886985778808594,9501.148909179687,57.12377,relu,64,0.25,1,4096,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5140.4375,52.19346618652344,6224.873500976562,55.108883,relu,64,0.5,1,4096,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6230.5390625,56.82487869262695,8464.749857421875,57.871655,relu,64,0.5,1,4096,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
