round_epochs,val_loss,val_mean_absolut_error,loss,mean_absolut_error,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,leaky_alpha,lr,optimizer,samples
1,6006.7880859375,48.933353424072266,5595.61511328125,51.021423,leakyrelu,32,0.25,1,1024,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5123.1142578125,45.58590316772461,6602.661138183594,54.536076,leakyrelu,32,0.25,1,1024,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5563.2578125,51.304386138916016,5781.321498535156,51.954075,leakyrelu,32,0.25,1,1024,1,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5355.900390625,47.85664749145508,6850.830162597656,54.37954,leakyrelu,32,0.25,1,1024,1,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4741.94287109375,48.36420822143555,5855.467119628906,51.89039,leakyrelu,32,0.25,1,1024,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5503.0166015625,48.049407958984375,6564.575161132812,55.586338,leakyrelu,32,0.25,1,1024,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4971.46728515625,53.99180221557617,5784.277386230468,51.410263,leakyrelu,32,0.25,1,1024,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,7230.259765625,56.873531341552734,6767.34276171875,55.54658,leakyrelu,32,0.25,1,1024,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5650.56201171875,47.06832504272461,6108.618079101562,53.02838,leakyrelu,32,0.25,1,1024,4,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4926.671875,47.28709030151367,6638.19723046875,55.22825,leakyrelu,32,0.25,1,1024,4,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5021.66796875,45.55521011352539,5850.326237304687,52.35442,leakyrelu,32,0.25,1,2048,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5809.400390625,48.94502258300781,7086.880511230469,56.076668,leakyrelu,32,0.25,1,2048,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5633.05029296875,59.75003433227539,5873.142079101563,51.554234,leakyrelu,32,0.25,1,2048,1,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6295.625,52.54897689819336,6958.92239453125,55.84105,leakyrelu,32,0.25,1,2048,1,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4257.0751953125,43.296627044677734,5780.975076660156,51.864445,leakyrelu,32,0.25,1,2048,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6070.1630859375,48.643165588378906,6713.436052734375,55.954006,leakyrelu,32,0.25,1,2048,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6857.13134765625,51.468467712402344,5635.782807128906,51.186607,leakyrelu,32,0.25,1,2048,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5505.076171875,56.63125991821289,7249.180717285156,56.187916,leakyrelu,32,0.25,1,2048,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6789.96142578125,58.065650939941406,5950.30742578125,52.700325,leakyrelu,32,0.25,1,2048,4,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4463.232421875,50.31148910522461,7021.527824707031,55.108463,leakyrelu,32,0.25,1,2048,4,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5764.6328125,48.762943267822266,5783.658921875,51.565456,leakyrelu,32,0.5,1,1024,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6394.09912109375,58.223018646240234,6689.905811035156,55.375298,leakyrelu,32,0.5,1,1024,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5847.080078125,51.60677719116211,5504.325111328125,50.649303,leakyrelu,32,0.5,1,1024,1,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6382.62646484375,57.1285285949707,6942.712360839843,55.461487,leakyrelu,32,0.5,1,1024,1,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5971.82421875,51.746429443359375,5799.818083496094,51.54174,leakyrelu,32,0.5,1,1024,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4998.52001953125,44.55781173706055,7009.578271972657,55.8726,leakyrelu,32,0.5,1,1024,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5962.68994140625,53.92052459716797,5702.002536621094,51.5132,leakyrelu,32,0.5,1,1024,3,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5178.2841796875,42.275936126708984,6860.0706455078125,55.171844,leakyrelu,32,0.5,1,1024,3,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6028.58544921875,60.003746032714844,5588.349478027344,50.650448,leakyrelu,32,0.5,1,1024,4,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6747.96875,54.519325256347656,6867.259139160156,55.779224,leakyrelu,32,0.5,1,1024,4,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4121.4775390625,42.269859313964844,5549.022880371093,50.89339,leakyrelu,32,0.5,1,2048,0,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,6765.57861328125,64.450927734375,6688.743869140625,55.1786,leakyrelu,32,0.5,1,2048,0,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4495.75537109375,46.23040008544922,5951.733161132813,52.26936,leakyrelu,32,0.5,1,2048,1,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,5978.470703125,62.8311767578125,6758.942337890625,56.374435,leakyrelu,32,0.5,1,2048,1,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,4633.5791015625,49.09440994262695,5724.764398925781,51.501583,leakyrelu,32,0.5,1,2048,2,0.1,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
1,7387.5732421875,60.190921783447266,6579.393901367188,55.37288,leakyrelu,32,0.5,1,2048,2,0.1,2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20000
