round_epochs,loss,custom_mae,val_loss,val_custom_mae,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,label_type,loss_function,lr,monitor_value,optimizer,reduction_metric,samples
1,6.711016660809517,1.0402045,0.14485943275690077,0.2861811,leakyrelu,32,0.25,1,1024,0,Normalized,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,25.04423055577278,1.8325549,0.3432847831249237,0.47439283,leakyrelu,32,0.25,1,1024,0,Normalized,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,151.6130672519207,3.921999,0.44459325981140135,0.5403088,leakyrelu,32,0.25,1,1024,0,Normalized,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,2.560608407765627,0.664256,0.1294826632142067,0.2610657,leakyrelu,32,0.25,1,1024,1,Normalized,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,12.038444168508052,1.1437063,0.14752790409326552,0.29291788,leakyrelu,32,0.25,1,1024,1,Normalized,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,432.35036441516877,4.861802,0.6215152394771576,0.6794443,leakyrelu,32,0.25,1,1024,1,Normalized,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,1.0023677127361297,0.5468273,0.16668055695295333,0.3226043,leakyrelu,32,0.25,1,1024,2,Normalized,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4.309592184752226,0.81987864,0.20124503725767134,0.36259106,leakyrelu,32,0.25,1,1024,2,Normalized,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,102.81445697069168,2.627754,0.30125349473953245,0.46080062,leakyrelu,32,0.25,1,1024,2,Normalized,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,0.5659407175183296,0.49249977,0.1817293517589569,0.3330905,leakyrelu,32,0.25,1,1024,3,Normalized,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,1.7187062646448612,0.6579238,0.2341989883184433,0.40125635,leakyrelu,32,0.25,1,1024,3,Normalized,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
