epoch,loss,mean_absolut_error,val_loss,val_mean_absolut_error
0,3187.9550531188966,35.58769,1820.105036694336,24.13233
1,1736.7226677337646,23.829687,1949.6027662231445,26.673094
2,1351.8097263381958,19.920437,1312.876235534668,19.539354
3,1177.905680932617,17.905848,1360.3098887451172,19.26224
4,1079.91045315094,16.742796,945.7661477600097,15.773214
5,1005.6506572540284,15.795236,883.5254068145751,14.138642
6,960.6977100128174,15.165175,1012.651315435791,16.220942
7,910.9515869377136,14.43085,1035.4938679016113,15.894692
8,865.7799684295654,13.996722,1205.6690657836914,17.617664
9,843.6724133613586,13.602636,764.7997381652832,12.349609
10,817.8076969261169,13.220987,787.1291484008789,12.4695425
11,801.7659297904968,12.928281,885.4242351867675,13.547186
12,763.6095604034424,12.583698,815.6973166748047,12.856623
13,771.8682562332153,12.444673,754.2851609191895,11.865036
14,753.6888432304382,12.345614,14431.45915,81.20632
15,744.1751359184265,12.051907,744.5323685272217,12.979513
16,714.262442351532,11.795558,872.9090027984619,12.76245
17,704.5918386074067,11.6594515,753.230621383667,11.333064
18,695.7993517570495,11.440605,702.5731559539795,11.605056
19,670.0616339035034,11.188141,741.9028366485595,11.07595
20,678.4117909191132,11.096299,643.7500712280273,10.908439
21,652.5851084918976,10.923257,952.5237839538574,14.980055
22,651.2872301410675,10.82983,847.3144083618164,13.52797
23,642.9277508804321,10.666116,754.5921170074463,11.397557
24,644.0727384292602,10.611175,676.7648587493896,10.711936
25,635.2811619804382,10.445747,731.7240464904785,13.412156
26,622.9721882961273,10.359799,608.4389222076416,10.377766
27,611.2182784420013,10.236256,835.9987733352662,12.569584
28,617.604759954834,10.160796,604.9065929573059,9.219449
29,616.1595083936692,10.17193,627.624979057312,9.700701
30,603.3489724866868,9.921935,644.583063987732,10.750287
31,586.4068927707672,9.815853,724.5955116760254,11.565497
32,591.0658378883362,9.804027,688.9279420227051,10.895687
33,577.8482261032104,9.687792,570.2307560539246,8.882652
34,577.3318674758912,9.59454,774.8525583236694,10.662262
35,571.5235007564545,9.573975,614.421677671814,10.184842
36,573.8225608440399,9.542003,578.2886064300537,9.914206
37,575.4149465721131,9.453353,616.0746859054566,9.845978
38,552.9190171207428,9.290759,551.4575073379517,9.160893
39,560.2938997713089,9.292544,606.3433521842957,9.452959
40,556.9411378393173,9.315596,643.2093518402099,10.165357
41,547.858438312149,9.097321,647.1285554244995,9.857317
42,544.8556700168609,9.07575,564.9930571517945,9.04065
43,541.8004952327728,8.974365,651.5425393493653,9.589368
44,555.0562611715317,9.119735,559.1509621078491,9.390109
45,532.6750001987457,8.850497,559.7258946487427,8.615266
46,538.1589156984329,8.899069,557.0063621780396,8.654784
47,540.4762553131103,8.86939,549.6060511886596,8.872582
48,547.0421870967865,8.987458,518.667199243927,8.044313
49,526.1759766983032,8.69034,629.7964457580566,9.129531
50,533.7741958612442,8.761818,633.0983734069824,10.05695
51,526.4007466863632,8.741043,526.0580992782593,9.116086
52,532.7151211357117,8.80152,529.2225016578674,8.130119
53,529.2814106679916,8.660305,515.1433033340454,8.223388
54,527.034921246338,8.654274,521.9322262947082,7.949411
55,521.3868398950577,8.620838,538.6707374542236,8.118316
56,520.0478800558091,8.567052,557.493948222351,9.090916
57,507.415168107605,8.415328,527.5114883522034,8.234662
58,510.74650117797853,8.367652,495.25839381637576,8.460944
59,507.60728505973816,8.469045,529.0556190605164,8.374457
60,498.6300925302505,8.284234,563.7849135971069,9.020347
61,502.1097906715393,8.368618,541.6502873764038,9.432891
62,503.7627610273361,8.294775,560.0322383789063,8.44543
63,505.00727853050233,8.331534,475.0041647277832,7.903773
64,495.7350387168884,8.192231,468.9918372650146,7.9396315
65,496.6225755096436,8.192176,531.4473170227051,8.182025
66,491.7187886240005,8.190384,514.2879135055542,9.162609
67,484.2950755590439,8.116872,588.2093048339843,8.744627
68,487.7312710762024,8.117921,635.1193210296631,8.859207
69,495.1443017864227,8.132701,518.0555690582275,8.111663
70,480.50317168521883,7.993229,494.1423064933777,7.762247
71,484.6350612113953,8.067328,501.3070243713379,8.235038
72,492.7205024974823,8.0799885,521.1117623046875,8.372634
73,482.71837570171357,7.963272,565.2911188156128,8.584242
74,487.23807413501737,7.9692125,473.6191404174805,8.098462
75,481.07895982837675,7.9780836,531.9865238166809,8.425039
76,482.8590920534134,7.9833627,532.3185077590942,8.103686
77,472.9738778612137,7.824665,570.8962719528198,9.704585
78,415.35069324502945,6.8123264,440.96819903297427,6.6972017
79,394.2588836728096,6.508788,441.0097923072815,6.5694866
80,393.17699205274585,6.4321423,419.5853116359711,6.4697404
81,385.20221217517854,6.351484,418.85916314544676,6.3346653
82,382.69908857059477,6.3033776,436.7435215763092,6.3627825
83,379.72949692230225,6.2689104,446.2437342411041,6.3250074
84,378.55392184677123,6.2361073,420.1448204311371,6.2972608
85,377.26011411190035,6.213025,427.73655715026854,6.2277713
86,375.6650062972069,6.180648,432.19719180450437,6.210318
87,376.0877532889366,6.160008,426.6779963668823,6.1696634
88,375.61806886615756,6.1378846,432.855906905365,6.1852636
89,372.9335868140221,6.1240263,416.5747011203766,6.1668534
90,372.7782479300499,6.106808,435.0151341659546,6.221562
91,372.1597318911552,6.0827203,421.9156997444153,6.11904
92,373.20218253703115,6.076613,420.255762959671,6.173772
93,374.7957648365021,6.0758405,411.96199711494444,6.1605544
94,370.8548611246109,6.0461073,408.373453502655,6.098364
95,369.5421180476189,6.040407,409.8083894798279,6.045572
96,366.40441537094114,6.00558,410.95390303726197,6.0469656
97,368.217741963768,5.992487,401.7201541057587,5.9948497
98,368.72699498825074,6.020323,417.16549826889036,6.0776434
99,369.693017839241,5.998428,403.153585364151,5.954887
100,363.98827231588365,5.961222,411.25607179870605,6.129001
101,368.9971288114548,5.9733005,407.2502545902252,6.0466557
102,373.51787369060514,5.99007,397.50255590667723,5.99741
103,369.06894390039446,5.981565,395.6203135875702,5.9719157
104,368.622377764225,5.9497857,409.19923913192747,6.049686
105,365.504218447876,5.9114246,400.0814527616501,5.94864
106,365.4897540732384,5.912573,406.673225497818,5.992744
107,362.7565915204048,5.914158,408.3801909362793,6.0045624
108,364.61625220098495,5.9114676,404.21614440574643,6.118796
109,360.34730447921754,5.90037,406.96088452262876,5.985782
110,364.1986556832314,5.898413,408.5649720840454,6.02403
111,364.8345424521446,5.885391,392.27513930130004,5.8852143
112,364.03533408041,5.8768635,422.2377388061523,6.0204525
113,361.49102821159363,5.8591743,402.91729295845033,5.8972116
114,364.72352358083725,5.880232,405.9261178688049,6.0315948
115,357.69863960990904,5.8456106,405.7561794078827,5.9252806
116,361.50472978115084,5.869096,412.3591901306152,6.011746
117,362.12174654483795,5.838346,405.3427117111206,5.8949265
118,367.6390442072868,5.866024,396.98674669017794,5.8094444
119,360.79964198122025,5.823591,401.35213078422544,5.9662795
120,365.55993849310875,5.8505807,406.21471876411437,6.000523
121,356.1476655439377,5.81013,410.5393454826355,6.012225
122,358.78716218681336,5.814023,398.73172392463687,5.914596
123,361.43965384836196,5.8183675,399.52214986610414,5.866198
124,362.4477828207016,5.818913,409.26284329528806,6.0757556
125,356.32598847141264,5.7212133,398.2937518630981,5.830335
126,353.54081702165604,5.7022333,397.13572937889097,5.7948537
127,348.27555178203585,5.6703014,396.9143624271393,5.7558246
128,353.9646917851448,5.6742916,397.31570276565554,5.7940826
129,352.7301157746315,5.674786,400.46846995773313,5.795061
130,348.093041959095,5.6530643,390.2294714134216,5.753954
131,354.05599496393205,5.673487,396.3449609752655,5.748123
132,348.4250693305016,5.633205,391.94955436668397,5.73191
133,346.0413626253128,5.6331744,398.3176959037781,5.785147
134,350.256959976387,5.6362157,392.9645000202179,5.7381225
135,349.44254075717924,5.6445513,396.4294754722595,5.723639
136,348.89580996255876,5.6426063,399.14472067260743,5.7373037
137,353.10793870720863,5.656201,398.1336245838165,5.718395
138,348.8206144132614,5.626941,396.3958782428741,5.75656
139,348.1613265517235,5.6273146,398.6438270893097,5.7275395
140,352.7756344732285,5.662387,396.78265651550294,5.7369947
141,349.34684068126677,5.6309085,399.79821187324524,5.7382326
142,351.11284541215895,5.6234283,396.5002561729431,5.739444
143,349.3914051085472,5.6362357,396.79653756484987,5.749236
144,349.8838878783226,5.629871,396.61946136322024,5.725982
145,353.1158391255379,5.6443925,397.47924386482237,5.7640405
146,347.5845655940056,5.6174335,397.39601510620116,5.7380676
147,347.7475416392803,5.621092,395.7223813638687,5.742825
148,348.9750818116188,5.6236167,396.559973493576,5.7419596
149,350.52578164367674,5.6297565,395.5671922586441,5.711493
150,346.9544239701271,5.6161404,396.0525772911072,5.732679
